Response Time,Availability,Throughput,Reliability,Latency,Rank
408.21,56,5,73,121.46,2281
328.6,86,1.7,73,9.2,1627
356.75,56,7.5,83,8.75,1479
246.53,88,6.8,53,63.45,1981
176.25,89,7.1,80,39.5,1226
787.47,95,4.5,58,84.6,2377
271.4,92,4.2,73,41.6,1738
179.5,72,4.1,60,7.5,1128
324,83,16,83,7,1030
82.43,42,6.5,78,3.14,311
1164,88,13.4,83,11,1619
322,89,23.2,73,22,1441
278,94,12.5,73,8.6,1028
356.67,66,3,80,59.5,2130
213.82,59,8.3,67,68.89,1820
42.5,72,13.1,73,3.5,157
296,74,2.2,73,18,1751
163,90,20.1,58,1,319
135.27,81,1.5,60,2.87,733
156.75,78,9,73,3.5,488
217.8,88,1.5,73,9.4,1247
220.4,85,15.6,58,5.8,891
518.8,97,9.7,58,8.8,1702
215.91,82,7.8,53,53.34,1840
176.33,92,6.5,83,119.83,1558
531,72,8.8,83,7,1469
162.25,78,9.1,73,7.25,676
470.43,43,4.5,78,8.29,1694
317,93,12.1,73,10.6,1279
183,93,11.4,73,58,1323
106,86,17.6,73,18.91,573
150.91,86,13.5,67,4.18,533
190,95,1.1,73,6,842
227.2,86,2.4,73,6.8,1080
134.33,97,6.9,73,8.66,587
315.4,98,2,67,44.6,2049
190.33,75,7.6,67,18,1342
93.3,60,13.4,73,31.4,750
261.33,95,10.1,80,100.66,1759
136,89,20.3,60,51,1211
140,86,8.3,73,2,300
141.25,59,0.8,53,34.25,1715
155,100,28.1,67,8,546
262.4,96,3.2,73,48.6,1782
260.6,100,13.5,67,42.4,1607
473,91,12.4,73,184,2147
2204.38,66,0.7,73,2050.13,2490
197,88,3.7,60,63,1826
214,85,1.4,73,10.8,1332
42.7,67,7.6,67,2.3,280
228.6,100,14.1,73,9.8,828
300.8,86,2.2,73,6.4,1338
324.5,72,14.6,78,124.5,2009
237.5,72,12.7,78,4,712
177,88,18.5,73,11,722
296.06,55,6.5,67,64.28,2111
211.25,89,10.9,67,152.75,1824
669.1,56,1.3,60,3.2,1814
204,98,12.7,80,2,338
122.93,93,16,60,12.5,703
234.12,70,2.9,73,61.5,1876
122,90,3.9,73,1,212
3625.06,64,1.3,73,3.94,1775
150.25,78,10.7,73,3.75,455
227,83,23.9,50,111,1885
68.57,43,4.4,78,2.86,289
290.22,85,2.9,53,82.7,2257
374.6,51,4.3,73,24.2,1915
154,98,14,73,3,274
127.5,78,8.4,73,6.5,523
152.07,95,12.8,53,33.14,1213
148,72,8.3,73,17.5,937
131,97,2.3,60,27.5,1274
262.5,89,5.3,73,18,1477
490.23,88,5.8,60,1.08,1271
205.8,90,1.3,58,8.4,1411
157.5,86,16.4,73,1.5,235
255.08,12,8.1,53,6.34,1389
198.8,99,1.1,73,8,990
1030.67,63,6,73,4,1511
174.77,56,2.6,67,37.92,1684
2098,86,5.1,80,55,2238
130.75,95,21.7,73,8,383
380.83,91,6.6,73,163.5,2177
277.2,85,1.6,73,6.4,1317
271.25,78,6.7,73,148,2033
250,92,13.8,73,9.4,968
3768.33,63,1.4,83,1991,2479
617.67,88,7.1,73,13.67,1774
196.83,75,1.1,73,36.16,1653
69,56,8,83,8.25,433
706,86,3.2,73,15.5,1932
427.65,86,1.4,53,120.48,2452
148.06,52,7.8,67,88.18,1679
1859.64,96,2.6,60,16.07,2154
371.45,19,1.1,42,61.07,2419
149.46,93,10.7,67,6.43,623
99.66,97,15.5,67,22.63,655
164,100,7.3,73,48.25,1215
221.4,91,2.6,73,43.2,1651
268.2,93,1.2,67,44.8,2016
189,83,22.2,73,7,609
413.09,8,5.4,60,10.11,1925
709.5,86,3.7,67,35.5,2218
278,97,9.6,73,54,1692
142,97,20.8,73,2,145
287,89,12,67,1,683
151,89,1.9,60,45.33,1664
157.5,94,3,67,1,462
178,86,20.2,73,2,297
1510.33,82,3.2,73,19.66,2077
654.41,87,3.7,53,2.2,1587
115,86,8.7,73,2,201
379.5,88,14.8,73,137.5,2036
120,97,11.9,73,57,941
