Response Time,Availability,Throughput,Reliability,Latency,Rank
124.38,87,15.8,73,0.88,84
89,83,13.2,73,1,54
129.33,95,15.9,73,1,71
38,71,21.1,73,2,46
100,94,21.8,73,2,45
53,97,11.6,73,2,40
56,97,9,73,1,23
66,83,25.1,73,3,81
106,90,35.7,80,1,11
41,97,43.1,73,1,1
101,93,17.9,73,0.83,19
105.56,92,14.6,73,0.67,31
115,98,17.9,73,2,74
108.8,90,18.1,73,0.8,34
90,85,31.1,60,1,91
58,95,16,73,1,5
77,83,33.3,78,3,77
121.67,99,9.6,73,0.67,78
82,90,18.9,73,1,13
103.4,85,18.8,73,0.4,32
95,96,28.3,60,1,56
84,95,22.4,50,1,89
100.33,87,18.6,73,0.66,27
107.4,85,19,73,0.8,43
64,83,24.7,78,3,70
63.8,99,18.1,73,1.8,16
100.56,99,14.1,73,1.23,41
91,83,25.8,78,3,97
105.6,100,19.2,73,0.6,10
104.5,86,23.5,73,2,73
95.25,99,16.3,73,1,12
82,83,35.9,73,2,48
111.2,93,16.9,67,0.4,86
83,87,15.2,73,1,29
102.62,91,15.3,67,0.93,94
103,94,36.6,80,1,6
87.14,87,20.5,67,0.71,67
109,90,24.1,73,2,66
104,87,18.5,73,1,36
78,100,35.3,67,1,17
109,99,30.7,67,1,50
120,85,34.4,83,1,35
100,94,36.3,73,1,8
91,85,28,60,1,96
102,90,18.6,73,1,28
115,96,28,73,1,20
158,100,23.3,80,1,82
99,99,31.1,73,2,26
111.5,72,21.3,73,1,63
77.5,86,16.8,80,1,14
81.5,89,15,73,1,25
57,86,40.1,73,1,4
109.6,99,19.3,73,1,18
112,83,37.7,73,1,39
83,91,19,80,1,9
42.5,72,13.2,73,2,79
86.86,100,19.7,73,1,7
109,93,29.9,83,3,65
82,83,38.7,80,2,37
125,94,24.1,73,2,90
68,97,5.1,73,1,57
64,83,24.8,78,4,100
108,92,25.1,73,2,55
69,83,23.4,78,2,44
101,87,34.7,73,2,51
107.45,97,13.3,73,1.36,68
103,85,16.1,73,0.89,47
40,72,14,73,2,69
66,83,36.1,78,3,62
101,86,22.5,73,2.5,98
79,83,32,78,3,80
109.5,91,24.9,83,2,42
104.75,89,19.4,73,1.5,59
108,93,30,73,2,49
103,93,34.2,67,2,99
81,93,35.6,58,1,58
67,83,25.1,78,3,76
66,83,33.4,78,2,33
84,94,21.6,50,1,95
53,83,14.5,73,2,60
98.67,91,18.6,67,0.67,64
69.71,89,3.5,80,0.42,85
112,85,32.4,73,1,38
104.6,89,19.1,73,1,30
57,98,34.6,73,1,2
64,93,9.9,80,2,53
107,85,33.3,80,1,22
78,92,36.9,73,1,3
59,88,28.6,73,2,24
89,83,40.4,78,3,88
57,85,5,73,1,92
88,83,28.2,89,3,75
68,86,18.3,73,3,87
37,71,21.3,73,3,83
103.25,93,20,73,1,21
107,91,36.9,83,3,61
49,72,21.6,78,2.5,72
78,100,10,80,1,15
65.07,88,16.7,67,1.28,93
115.4,96,18.7,80,1.4,52
